"orden","n_comp","renglon","cod_art","cantidad","importe_neto","precio_neto","porc_iva","adicional","precio_lista","total_renglon","cuales","revend"
2,"B0000700035230",1,"5/405247-8",2,4950.0,4090.91,21.0,"0.00",4950.0,9900.0," ","601198501"
2,"B0000700035230",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","601198501"
2,"B0000700035230",3,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","601198501"
5,"B0000700035233",1,"1/100673-4",1,7499.99,6198.34,21.0,"0.00",7499.99,7499.99," ","601745340"
5,"B0000700035233",2,"1/100720-4",1,10999.99,9090.9,21.0,"0.00",10999.99,10999.99," ","601745340"
5,"B0000700035233",3,"1/100721-7",1,10999.99,9090.9,21.0,"0.00",10999.99,10999.99," ","601745340"
5,"B0000700035233",4,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","601745340"
5,"B0000700035233",5,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","601745340"
6,"B0000700035234",1,"1/101036-0",6,4999.99,4132.22,21.0,"0.00",4999.99,29999.94," ","601780505"
6,"B0000700035234",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","601780505"
6,"B0000700035234",3,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","601780505"
11,"B0000700035239",1,"5/405702-4",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","602744883"
11,"B0000700035239",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","602744883"
11,"B0000700035239",3,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","602744883"
13,"B0000700035241",1,"1/101302-5",1,8699.99,7190.07,21.0,"0.00",8699.99,8699.99," ","602773569"
13,"B0000700035241",2,"5/404880-3",1,11999.99,9917.35,21.0,"0.00",11999.99,11999.99," ","602773569"
13,"B0000700035241",3,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","602773569"
13,"B0000700035241",4,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","602773569"
18,"B0000700035246",1,"1/101164-8",2,4000.0,3305.79,21.0,"0.00",4000.0,8000.0," ","602945436"
18,"B0000700035246",2,"1/24202-6",2,3500.0,2892.56,21.0,"0.00",3500.0,7000.0," ","602945436"
18,"B0000700035246",3,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","602945436"
18,"B0000700035246",4,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","602945436"
19,"B0000700035247",1,"1/100357-8",1,8999.99,7438.01,21.0,"0.00",8999.99,8999.99," ","603018193"
19,"B0000700035247",2,"1/100956-9",1,3150.0,2603.31,21.0,"0.00",3150.0,3150.0," ","603018193"
19,"B0000700035247",3,"1/101005-5",1,5399.99,4462.8,21.0,"0.00",5399.99,5399.99," ","603018193"
19,"B0000700035247",4,"1/101006-7",1,5399.99,4462.8,21.0,"0.00",5399.99,5399.99," ","603018193"
19,"B0000700035247",5,"1/41183-9",1,3149.99,2603.3,21.0,"0.00",3149.99,3149.99," ","603018193"
19,"B0000700035247",6,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603018193"
19,"B0000700035247",7,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","603018193"
20,"B0000700035248",1,"1/101347-3",1,14999.99,12396.69,21.0,"0.00",14999.99,14999.99," ","603042106"
20,"B0000700035248",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603042106"
20,"B0000700035248",3,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","603042106"
21,"B0000700035249",1,"5/402666-0",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","603044045"
21,"B0000700035249",2,"5/403554-3",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","603044045"
21,"B0000700035249",3,"5/405702-4",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","603044045"
21,"B0000700035249",4,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603044045"
21,"B0000700035249",5,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","603044045"
22,"B0000700035250",1,"1/100620-6",1,3499.99,2892.55,21.0,"0.00",3499.99,3499.99," ","603143165"
22,"B0000700035250",2,"1/101035-8",1,8999.99,7438.01,21.0,"0.00",8999.99,8999.99," ","603143165"
22,"B0000700035250",3,"1/101354-1",1,2599.99,2148.75,21.0,"0.00",2599.99,2599.99," ","603143165"
22,"B0000700035250",4,"5/52725-3",2,2799.99,2314.04,21.0,"0.00",2799.99,5599.98," ","603143165"
22,"B0000700035250",5,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603143165"
22,"B0000700035250",6,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","603143165"
23,"B0000700035251",1,"1/100490-9",2,1350.0,1115.7,21.0,"0.00",1350.0,2700.0," ","603175913"
23,"B0000700035251",2,"1/101137-1",2,5400.0,4462.81,21.0,"0.00",5400.0,10800.0," ","603175913"
23,"B0000700035251",3,"5/202600-1",2,1575.0,1301.65,21.0,"0.00",1575.0,3150.0," ","603175913"
23,"B0000700035251",4,"5/403479-4",2,2250.0,1859.5,21.0,"0.00",2250.0,4500.0," ","603175913"
23,"B0000700035251",5,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603175913"
23,"B0000700035251",6,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","603175913"
24,"B0000700035252",1,"5/402666-0",2,4499.99,3719.0,21.0,"0.00",4499.99,8999.98," ","603232336"
24,"B0000700035252",2,"5/402667-3",1,4499.99,3719.0,21.0,"0.00",4499.99,4499.99," ","603232336"
24,"B0000700035252",3,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603232336"
24,"B0000700035252",4,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","603232336"
26,"B0000700035254",1,"5/405953-5",1,9719.99,8033.05,21.0,"0.00",9719.99,9719.99," ","603433283"
26,"B0000700035254",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603433283"
26,"B0000700035254",3,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","603433283"
28,"B0000700035256",1,"5/204354-5",1,39999.99,33057.84,21.0,"0.00",39999.99,39999.99," ","603547573"
28,"B0000700035256",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603547573"
28,"B0000700035256",3,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","603547573"
32,"B0000700035260",1,"5/405698-8",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","603677970"
32,"B0000700035260",2,"5/405704-8",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","603677970"
32,"B0000700035260",3,"5/405955-0",2,5999.99,4958.67,21.0,"0.00",5999.99,11999.98," ","603677970"
32,"B0000700035260",4,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603677970"
32,"B0000700035260",5,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","603677970"
33,"B0000700035261",1,"5/403554-3",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","603683255"
33,"B0000700035261",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603683255"
33,"B0000700035261",3,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","603683255"
36,"B0000700035264",1,"5/402667-3",2,4999.99,4132.22,21.0,"0.00",4999.99,9999.98," ","603805121"
36,"B0000700035264",2,"5/405698-8",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","603805121"
36,"B0000700035264",3,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603805121"
36,"B0000700035264",4,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","603805121"
39,"B0000700035267",1,"1/101263-4",1,3499.99,2892.55,21.0,"0.00",3499.99,3499.99," ","603994162"
39,"B0000700035267",2,"1/101308-8",1,6999.99,5785.12,21.0,"0.00",6999.99,6999.99," ","603994162"
39,"B0000700035267",3,"1/101384-4",1,5999.99,4958.67,21.0,"0.00",5999.99,5999.99," ","603994162"
39,"B0000700035267",4,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","603994162"
39,"B0000700035267",5,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","603994162"
42,"B0000700035270",1,"1/101404-8",2,6000.0,4958.68,21.0,"0.00",6000.0,12000.0," ","604176415"
42,"B0000700035270",2,"5/402823-4",2,3000.0,2479.34,21.0,"0.00",3000.0,6000.0," ","604176415"
42,"B0000700035270",3,"5/405704-8",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","604176415"
42,"B0000700035270",4,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","604176415"
42,"B0000700035270",5,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","604176415"
43,"B0000700035271",1,"5/403569-8",2,4250.0,3512.4,21.0,"0.00",4250.0,8500.0," ","604219936"
43,"B0000700035271",2,"5/404049-4",2,3250.0,2685.95,21.0,"0.00",3250.0,6500.0," ","604219936"
43,"B0000700035271",3,"5/405698-8",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","604219936"
43,"B0000700035271",4,"5/405702-4",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","604219936"
43,"B0000700035271",5,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","604219936"
43,"B0000700035271",6,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","604219936"
50,"B0000700035278",1,"1/100490-9",1,1499.99,1239.66,21.0,"0.00",1499.99,1499.99," ","604754865"
50,"B0000700035278",2,"1/100728-2",1,1500.0,1239.67,21.0,"0.00",1500.0,1500.0," ","604754865"
50,"B0000700035278",3,"1/100983-6",2,3000.0,2479.34,21.0,"0.00",3000.0,6000.0," ","604754865"
50,"B0000700035278",4,"1/101012-3",1,6999.99,5785.12,21.0,"0.00",6999.99,6999.99," ","604754865"
50,"B0000700035278",5,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","604754865"
50,"B0000700035278",6,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","604754865"
53,"B0000700035281",1,"1/100908-1",2,1350.0,1115.7,21.0,"0.00",1350.0,2700.0," ","609426463"
53,"B0000700035281",2,"5/404044-3",1,2924.99,2417.35,21.0,"0.00",2924.99,2924.99," ","609426463"
53,"B0000700035281",3,"5/404049-4",1,2925.0,2417.36,21.0,"0.00",2925.0,2925.0," ","609426463"
53,"B0000700035281",4,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","609426463"
53,"B0000700035281",5,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","609426463"
54,"B0000700035282",1,"1/101237-0",2,3150.0,2603.31,21.0,"0.00",3150.0,6300.0," ","609426463"
54,"B0000700035282",2,"1/24190-2",2,1890.0,1561.98,21.0,"0.00",1890.0,3780.0," ","609426463"
54,"B0000700035282",3,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","609426463"
54,"B0000700035282",4,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","609426463"
55,"B0000700035283",1,"1/101055-7",2,4050.0,3347.11,21.0,"0.00",4050.0,8100.0," ","609426463"
55,"B0000700035283",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","609426463"
55,"B0000700035283",3,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","609426463"
56,"B0000700035284",1,"1/101404-8",2,5400.0,4462.81,21.0,"0.00",5400.0,10800.0," ","609426463"
56,"B0000700035284",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","609426463"
56,"B0000700035284",3,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","609426463"
57,"B0000700035285",1,"1/101294-0",2,398.41,329.26,21.0,"0.00",398.41,796.82," ","609426463"
57,"B0000700035285",2,"5/405251-8",2,5136.58,4245.11,21.0,"0.00",5136.58,10273.16," ","609426463"
57,"B0000700035285",3,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","609426463"
57,"B0000700035285",4,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","609426463"
